AnoMes,PAG_PFPJ,REC_PFPJ,PAG_REGIAO,REC_REGIAO,PAG_IDADE,REC_IDADE,FORMAINICIACAO,NATUREZA,FINALIDADE,VALOR,QUANTIDADE
202411,PF,PF,SUL,NORTE,mais de 60 anos,mais de 60 anos,Nao disponivel,P2P,Nao disponivel,"2388,36",15
202411,PJ,PJ,CENTRO-OESTE,SUDESTE,Nao se aplica,Nao se aplica,QRES,G2B,Pix,"46302,24",29
202411,PJ,PF,SUL,CENTRO-OESTE,Nao se aplica,entre 50 e 59 anos,QRDN,B2P,Pix,"67822,82",789
202411,PF,PF,NORDESTE,Nao informado,mais de 60 anos,até 19 anos,DICT,P2P,Pix,"37971,08",168
202411,PF,PF,NORDESTE,Nao informado,entre 20 e 29 anos,entre 30 e 39 anos,QRDN,P2P,Pix,"13018,77",550
202411,PF,PF,SUL,NORTE,entre 50 e 59 anos,entre 50 e 59 anos,QRDN,P2P,Pix,"56541,07",1298
202411,PF,PF,CENTRO-OESTE,SUDESTE,entre 30 e 39 anos,mais de 60 anos,Nao disponivel,P2P,Nao disponivel,"254017,09",423
202411,PF,PF,NORTE,NORTE,entre 30 e 39 anos,até 19 anos,DICT,P2P,Pix,"166846491,85",2039563
202411,PF,PF,SUL,NORDESTE,entre 50 e 59 anos,mais de 60 anos,MANU,P2P,Pix,"1097322,66",2211
202411,PF,PJ,SUL,SUDESTE,entre 40 e 49 anos,Nao se aplica,QRDN,P2B,Pix Saque,"201948,98",1537
202411,PJ,PF,NORDESTE,NORTE,Nao se aplica,entre 50 e 59 anos,QRES,B2P,Pix,"499079,14",3037
202411,PF,PF,CENTRO-OESTE,CENTRO-OESTE,entre 50 e 59 anos,até 19 anos,Nao disponivel,P2P,Nao disponivel,"121430,85",1249
